Date,Open,High,Low,Close,Volume
25-Nov-16,193.64,197.24,193.64,196.65,2366098
23-Nov-16,190.61,195.64,189.00,193.14,4891893
22-Nov-16,185.84,191.47,183.71,191.17,5603361
21-Nov-16,185.04,188.89,184.41,184.52,4361043
18-Nov-16,190.65,193.00,185.00,185.02,5210347
17-Nov-16,183.49,189.49,182.11,188.66,4887067
16-Nov-16,182.65,184.73,181.21,183.93,3434437
15-Nov-16,182.78,186.43,182.05,183.77,3902018
14-Nov-16,188.00,188.25,178.19,181.45,6552205
11-Nov-16,184.24,188.88,183.00,188.56,3988504
10-Nov-16,191.05,191.61,180.42,185.35,6750341
9-Nov-16,186.88,192.00,183.95,190.06,8173065
8-Nov-16,193.79,197.49,191.26,194.94,3267580
7-Nov-16,193.59,194.29,190.05,193.21,3870112
4-Nov-16,189.00,193.46,185.96,190.56,5146043
3-Nov-16,189.00,191.47,187.04,187.42,2653023
2-Nov-16,190.05,192.70,187.50,188.02,4253382
1-Nov-16,198.04,198.50,188.10,190.79,7060036
31-Oct-16,202.49,202.49,195.81,197.73,4692273
28-Oct-16,204.00,205.32,199.83,199.97,4280141
27-Oct-16,211.34,213.70,201.65,204.01,13093744
26-Oct-16,201.00,203.19,200.10,202.24,5632841
25-Oct-16,202.90,204.69,201.20,202.34,2445014
24-Oct-16,201.00,203.95,200.25,202.76,2751562
21-Oct-16,198.60,201.57,197.41,200.09,2943402
20-Oct-16,202.12,203.00,197.05,199.10,5072877
19-Oct-16,199.74,206.66,198.06,203.56,6991183
18-Oct-16,195.99,199.47,193.26,199.10,5680475
17-Oct-16,197.05,198.39,192.00,193.96,4554080
14-Oct-16,200.66,201.43,196.30,196.51,4269850
13-Oct-16,200.50,200.90,197.05,200.24,2495413
12-Oct-16,200.95,203.88,200.42,201.51,1970689
11-Oct-16,201.85,202.20,198.31,200.10,2328422
10-Oct-16,201.35,204.14,199.66,200.95,3316297
7-Oct-16,201.00,201.32,195.80,196.61,3493018
6-Oct-16,202.46,204.21,200.21,201.00,4703402
5-Oct-16,212.24,213.15,208.12,208.46,1877534
4-Oct-16,213.10,213.32,208.82,211.41,3541481
3-Oct-16,212.30,215.67,208.25,213.70,5999892
30-Sep-16,202.21,204.98,199.55,204.03,2586273
29-Sep-16,205.60,207.33,200.58,200.70,2727029
28-Sep-16,207.51,208.25,205.26,206.27,2088374
27-Sep-16,209.65,209.98,204.61,205.81,3373180
26-Sep-16,206.50,211.00,206.50,208.99,2394358
23-Sep-16,205.99,210.18,205.67,207.45,2905229
22-Sep-16,206.40,207.28,203.00,206.43,2382902
21-Sep-16,206.37,207.00,201.56,205.22,2633503
20-Sep-16,206.85,207.75,203.91,204.64,2410488
19-Sep-16,207.00,209.43,205.00,206.34,2299498
16-Sep-16,200.42,205.70,199.00,205.40,3107808
15-Sep-16,196.49,202.52,196.40,200.42,3085115
14-Sep-16,195.75,197.92,194.86,196.41,2259231
13-Sep-16,197.06,198.49,193.45,196.05,3589379
12-Sep-16,195.00,201.37,194.10,198.30,3715161
9-Sep-16,199.09,199.92,193.70,194.47,3756992
8-Sep-16,199.55,199.89,196.36,197.36,3377946
7-Sep-16,205.50,206.50,200.71,201.71,3640923
6-Sep-16,199.02,203.25,199.00,202.83,4390572
2-Sep-16,202.33,203.20,196.20,197.78,5977413
1-Sep-16,209.01,211.10,200.50,200.77,7943138
31-Aug-16,210.43,212.60,208.65,212.01,3276548
30-Aug-16,216.11,216.11,210.52,211.34,3168862
29-Aug-16,220.15,220.40,215.00,215.20,3266334
26-Aug-16,222.14,222.86,218.82,219.99,2238992
25-Aug-16,223.11,223.80,220.77,220.96,1762519
24-Aug-16,227.05,227.15,222.22,222.62,2570693
23-Aug-16,224.32,228.49,222.80,224.84,4784418
22-Aug-16,224.17,225.11,222.68,222.93,2065493
19-Aug-16,223.54,225.17,222.53,225.00,1659530
18-Aug-16,223.82,225.66,222.29,223.51,1714467
17-Aug-16,224.33,224.83,222.80,223.24,1787127
16-Aug-16,225.49,227.19,223.41,223.61,2267147
15-Aug-16,226.02,229.50,224.93,225.59,2034328
12-Aug-16,225.41,226.65,224.04,225.61,1813540
11-Aug-16,226.17,227.57,223.41,224.91,1880936
10-Aug-16,228.24,229.87,224.62,225.65,2338301
9-Aug-16,226.82,231.54,226.65,229.08,2207833
8-Aug-16,228.00,229.60,226.09,226.16,2263584
5-Aug-16,230.00,232.00,227.40,230.03,3205215
4-Aug-16,225.69,230.86,222.05,230.61,4146997
3-Aug-16,227.37,229.70,224.21,225.79,3887759
2-Aug-16,229.37,229.87,221.40,227.20,3934432
1-Aug-16,235.50,236.63,229.38,230.01,4016284
29-Jul-16,230.70,235.28,230.24,234.79,3070813
28-Jul-16,227.95,230.76,226.60,230.61,2419059
27-Jul-16,229.34,233.36,226.92,228.49,2889007
26-Jul-16,227.69,230.00,225.30,229.51,3430042
25-Jul-16,222.27,231.39,221.37,230.01,4490683
22-Jul-16,221.99,224.50,218.88,222.27,2579692
21-Jul-16,226.00,227.85,219.10,220.50,4428651
20-Jul-16,226.47,229.80,225.00,228.36,2568498
19-Jul-16,225.00,229.10,224.75,225.26,3115065
18-Jul-16,219.64,227.09,218.30,226.25,3412055
15-Jul-16,222.52,222.75,219.64,220.40,2234247
14-Jul-16,223.12,224.94,221.05,221.53,2675834
13-Jul-16,225.50,225.59,220.29,222.53,3567062
12-Jul-16,224.10,227.50,223.22,224.65,4576165
11-Jul-16,219.96,226.78,219.51,224.78,5429823
8-Jul-16,217.80,219.81,214.50,216.78,4074785
7-Jul-16,213.10,218.12,213.01,215.94,3612022
6-Jul-16,210.00,215.23,209.00,214.44,4919855
5-Jul-16,209.73,214.54,208.00,213.98,5175345
1-Jul-16,206.14,218.24,206.00,216.50,5399951
30-Jun-16,212.97,213.50,209.02,212.28,4843111
29-Jun-16,205.13,211.78,203.00,210.19,5994908
28-Jun-16,201.89,204.05,199.41,201.79,6212422
27-Jun-16,190.86,198.81,187.87,198.55,7220323
24-Jun-16,190.05,195.12,189.73,193.15,7026516
23-Jun-16,195.69,197.55,192.13,196.40,10130748
22-Jun-16,199.47,205.95,195.75,196.66,23742414
21-Jun-16,220.68,222.57,218.81,219.61,4529005
20-Jun-16,219.50,223.75,218.23,219.70,3555471
17-Jun-16,217.81,219.99,214.50,215.47,3112620
16-Jun-16,217.42,218.04,213.50,217.93,2440259
15-Jun-16,216.95,221.90,215.13,217.70,2908522
14-Jun-16,218.88,222.20,212.53,214.96,3580167
13-Jun-16,219.50,225.77,217.66,217.87,4193022
10-Jun-16,227.39,227.97,218.42,218.79,6026603
9-Jun-16,234.98,235.33,227.06,229.36,4492075
8-Jun-16,233.80,240.84,232.60,235.52,5971995
7-Jun-16,222.24,234.44,221.52,232.34,6213573
6-Jun-16,218.00,220.90,215.45,220.68,2249508
3-Jun-16,220.00,221.94,218.01,218.99,2228970
2-Jun-16,219.59,219.91,217.11,218.96,2032832
1-Jun-16,221.48,222.40,216.89,219.56,2982695
31-May-16,223.04,224.75,221.50,223.23,2789002
27-May-16,224.99,225.93,220.75,223.04,3642740
26-May-16,220.50,225.26,219.05,225.12,4064013
25-May-16,217.91,221.36,216.51,219.58,3126822
24-May-16,216.60,218.74,215.18,217.91,3008774
23-May-16,219.87,222.60,215.86,216.22,5093158
20-May-16,216.99,220.55,216.35,220.28,8951773
19-May-16,213.62,216.79,207.30,215.21,6811976
18-May-16,209.15,215.31,207.75,211.17,5384698
17-May-16,209.05,209.82,204.02,204.66,2841168
16-May-16,208.15,213.15,207.92,208.29,2945072
13-May-16,207.78,211.20,206.70,207.61,2819264
12-May-16,211.44,211.67,203.66,207.28,3646943
11-May-16,207.59,215.48,206.05,208.96,5153730
10-May-16,207.55,209.47,205.00,208.69,4065214
9-May-16,215.72,216.15,206.80,208.92,4758131
6-May-16,210.87,216.37,208.11,214.93,5681078
5-May-16,228.46,228.64,209.79,211.53,11235835
4-May-16,230.29,234.46,220.40,222.56,8262540
3-May-16,237.36,238.91,231.62,232.32,4289174
2-May-16,241.50,243.19,234.82,241.80,3836429
29-Apr-16,248.14,248.43,237.81,240.76,5388701
28-Apr-16,249.85,253.43,247.44,247.71,2509509
27-Apr-16,252.75,255.00,249.40,251.47,3190682
26-Apr-16,252.05,255.73,249.39,253.74,3212470
25-Apr-16,253.01,257.38,250.76,251.82,3664293
22-Apr-16,248.89,254.00,245.71,253.75,3774648
21-Apr-16,248.99,250.90,246.91,248.29,2783059
20-Apr-16,246.26,253.66,241.50,249.97,5190831
19-Apr-16,253.12,254.37,241.25,247.37,6349403
18-Apr-16,252.23,258.31,251.66,253.88,4261782
15-Apr-16,251.31,254.60,249.12,254.51,3742018
14-Apr-16,253.00,256.84,251.05,251.86,4119980
13-Apr-16,248.51,255.50,247.33,254.53,4917930
12-Apr-16,249.50,251.80,243.63,247.82,5750757
11-Apr-16,251.00,258.99,245.30,249.92,9153901
8-Apr-16,260.50,260.82,248.02,250.07,7332157
7-Apr-16,266.45,269.34,254.51,257.20,8836815
6-Apr-16,253.97,267.74,253.45,265.42,11679883
5-Apr-16,240.50,256.56,240.00,255.47,9915160
4-Apr-16,249.12,252.12,243.64,246.99,13289584
1-Apr-16,244.82,247.90,233.25,237.59,15962015
31-Mar-16,229.34,237.42,225.01,229.77,7956740
30-Mar-16,235.09,235.50,226.50,226.89,4019667
29-Mar-16,229.89,232.38,225.33,230.13,4004940
28-Mar-16,231.61,234.81,225.00,230.26,3875451
24-Mar-16,215.78,228.89,215.00,227.75,4954411
23-Mar-16,232.37,234.73,222.03,222.58,4921013
22-Mar-16,237.21,238.99,232.56,234.24,4300628
21-Mar-16,235.34,239.88,235.00,238.32,5286697
18-Mar-16,229.10,234.48,228.06,232.74,4698180
17-Mar-16,221.47,228.50,220.00,226.38,3754756
16-Mar-16,218.00,222.58,217.02,221.93,3462107
15-Mar-16,214.27,218.97,211.50,218.34,3180452
14-Mar-16,212.65,216.72,210.64,215.15,4054723
11-Mar-16,207.93,209.42,205.33,207.50,3300358
10-Mar-16,210.00,213.29,200.67,205.18,5183177
9-Mar-16,204.52,209.37,202.79,208.72,3160081
8-Mar-16,203.50,207.50,202.20,202.60,4130816
7-Mar-16,197.68,209.70,197.40,205.29,5329369
4-Mar-16,198.00,204.03,197.50,201.04,6469772
3-Mar-16,188.28,197.42,184.22,195.74,4820497
2-Mar-16,183.73,188.52,181.50,188.34,4832986
1-Mar-16,194.25,195.95,182.70,186.35,6701674
29-Feb-16,192.40,196.35,189.22,191.93,4479719
26-Feb-16,188.70,192.00,185.00,190.34,6052910
25-Feb-16,178.65,188.52,175.20,187.43,5720514
24-Feb-16,172.75,179.50,167.84,179.00,5380712
23-Feb-16,176.16,181.73,173.68,177.21,5968028
22-Feb-16,170.12,178.91,169.85,177.74,5051180
19-Feb-16,163.66,167.49,162.50,166.58,2952880
18-Feb-16,172.42,172.95,164.77,166.77,3785336
17-Feb-16,159.00,169.34,156.68,168.68,5807071
16-Feb-16,158.70,162.95,154.11,155.17,5556314
12-Feb-16,155.00,157.01,143.70,151.04,7202970
11-Feb-16,152.00,163.26,147.00,150.47,14231392
10-Feb-16,150.50,154.97,141.74,143.67,9067292
9-Feb-16,142.32,159.79,141.05,148.25,8575099
8-Feb-16,157.10,157.15,146.00,147.99,9297941
5-Feb-16,171.30,173.00,157.74,162.60,9426933
4-Feb-16,170.70,175.98,166.99,175.33,4363924
3-Feb-16,183.59,183.94,170.18,173.48,7879454
2-Feb-16,192.42,193.12,180.23,182.78,5762855
1-Feb-16,188.76,199.52,182.75,196.94,5293766
29-Jan-16,189.95,193.74,188.08,191.20,2841003
28-Jan-16,190.79,191.28,182.41,189.70,4581652
27-Jan-16,192.38,193.26,185.77,188.07,3565378
26-Jan-16,196.70,197.82,188.88,193.56,4946841
25-Jan-16,200.06,203.57,195.88,196.38,2694564
22-Jan-16,204.80,205.50,199.03,202.55,3120106
21-Jan-16,201.55,203.23,195.02,199.97,3163432
20-Jan-16,199.40,201.28,191.25,198.70,5825431
19-Jan-16,208.71,210.47,200.78,204.72,3997509
15-Jan-16,198.97,205.07,197.25,204.99,5322235
14-Jan-16,202.21,210.00,193.38,206.18,6452623
13-Jan-16,212.01,212.65,200.00,200.31,4039093
12-Jan-16,211.60,213.74,205.31,209.97,3091917
11-Jan-16,214.01,214.45,203.00,207.85,4091422
8-Jan-16,217.86,220.44,210.77,211.00,3628058
7-Jan-16,214.19,218.44,213.67,215.65,3554251
6-Jan-16,220.00,220.05,215.98,219.04,3779128
5-Jan-16,226.36,226.89,220.00,223.43,3186752
4-Jan-16,230.72,231.38,219.00,223.41,6819737
31-Dec-15,238.51,243.45,238.37,240.01,2715038
30-Dec-15,236.60,243.63,235.67,238.09,3697921
29-Dec-15,230.06,237.72,229.55,237.19,2406290
28-Dec-15,231.49,231.98,225.54,228.95,1901304
24-Dec-15,230.56,231.88,228.28,230.57,710277
23-Dec-15,232.18,233.45,228.13,229.70,1554979
22-Dec-15,234.99,236.55,229.63,229.95,1961495
21-Dec-15,231.69,235.83,231.08,232.56,1953174
18-Dec-15,232.89,235.90,229.29,230.46,3014170
17-Dec-15,233.94,237.76,229.81,233.39,3298638
16-Dec-15,222.10,234.88,220.73,234.51,5104341
15-Dec-15,221.82,222.22,218.00,221.09,2244424
14-Dec-15,217.51,220.92,214.87,218.58,2827068
11-Dec-15,225.24,225.75,216.64,217.02,3268726
10-Dec-15,224.71,228.49,223.64,227.07,2071692
9-Dec-15,226.70,227.50,220.72,224.52,3057753
8-Dec-15,227.52,228.80,224.20,226.72,2687636
7-Dec-15,227.70,235.63,226.15,231.13,3144223
4-Dec-15,232.46,233.27,227.66,230.38,2573603
3-Dec-15,235.48,237.45,230.00,232.71,2939564
2-Dec-15,237.00,238.60,231.23,231.99,2975721
1-Dec-15,231.06,238.00,231.05,237.19,3728287
30-Nov-15,231.79,234.28,229.08,230.26,2585753
